date,Trans,Hours,Visits,Unit,Net_Sales
2014-12-01,304.0,161.116516,1123.0,1391.0,17023.48
2014-12-02,324.0,133.24993000000003,994.0,1590.0,20928.43
2014-12-03,407.0,152.80001900000002,1289.0,1918.0,25043.079999999998
2014-12-04,594.0,196.733363,1654.0,2117.0,30881.11
2014-12-05,746.0,243.13340000000002,2355.0,2764.0,37297.869999999995
2014-12-06,1409.0,341.03335000000004,4782.0,7043.0,72908.62
2014-12-07,1076.0,253.150089,3678.0,5536.0,59003.69
2014-12-08,578.0,232.33333000000005,1837.0,1994.0,29472.120000000003
2014-12-09,529.0,203.983413,1568.0,1709.0,26512.449999999997
2014-12-10,672.0,236.76663900000003,2006.0,2388.0,39965.380000000005
2014-12-11,706.0,202.36668,2004.0,2484.0,39313.47
2014-12-12,1052.0,299.61669299999994,2939.0,3537.0,58633.579999999994
2014-12-13,1514.0,338.10017000000005,4861.0,5057.0,76600.00000000001
2014-12-14,1230.0,255.91665999999998,4158.0,3927.0,64672.780000000006
2014-12-15,887.0,250.76679000000004,2481.0,2731.0,44121.479999999996
2014-12-16,938.0,215.56652,2560.0,2717.0,47275.01999999999
2014-12-17,1130.0,266.733436,3093.0,3656.0,57658.60999999999
2014-12-18,1440.0,238.06662000000003,3754.0,4941.0,67069.0
2014-12-19,1751.0,312.31665599999997,4622.0,6098.0,85793.81999999999
2014-12-20,1825.0,380.9999,6260.0,6437.0,92223.33
2014-12-21,1620.0,351.98348599999997,5800.0,5736.0,85496.89000000001
2014-12-22,1366.0,333.59986999999995,4876.0,4243.0,76724.09
2014-12-23,1485.0,305.06665999999996,4857.0,4637.0,83632.43000000001
2014-12-24,734.0,154.10003,2335.0,2486.0,45245.3
2014-12-26,1360.0,378.41648,5509.0,4128.0,69428.14
2014-12-27,994.0,333.86665999999997,4301.0,2913.0,49782.79
2014-12-28,759.0,190.799898,3133.0,2260.0,37851.170000000006
2014-12-29,800.0,210.383216,3262.0,2236.0,39500.6
2014-12-30,903.0,207.76666099999997,3394.0,2491.0,46147.48000000001
2014-12-31,524.0,139.200065,1891.0,1562.0,29001.409999999996
2015-01-01,406.0,123.80015900000001,1875.0,1348.0,21357.25
2015-01-02,1890.0,367.616841,5512.0,8092.0,130314.03
2015-01-03,1393.0,339.81655600000005,4428.0,5378.0,76814.51
2015-01-04,785.0,196.08314599999997,2444.0,2908.0,47299.53
2015-01-05,606.0,165.49994999999998,1959.0,2083.0,31791.98
2015-01-06,518.0,140.01672,1533.0,1789.0,27826.73
2015-01-07,523.0,152.29991999999996,1842.0,1849.0,29100.54
2015-01-08,491.0,135.89996000000002,1365.0,1696.0,20759.850000000006
2015-01-09,757.0,204.75000000000003,2262.0,2615.0,35037.31
2015-01-10,1196.0,261.649963,3847.0,4637.0,54561.86000000001
2015-01-11,749.0,188.316654,2635.0,2948.0,36392.63
2015-01-12,468.0,157.56675600000005,1165.0,1512.0,15254.03
2015-01-13,487.0,134.783376,1161.0,2092.0,18974.47
2015-01-14,521.0,133.98339299999998,1323.0,2446.0,23697.660000000003
2015-01-15,516.0,124.88331600000001,1277.0,2025.0,20289.37
2015-01-16,729.0,207.25006600000006,1894.0,2909.0,27023.299999999996
2015-01-17,1047.0,259.80013,3453.0,5083.0,50127.479999999996
2015-01-18,609.0,132.799891,2194.0,2978.0,26134.359999999997
2015-01-19,541.0,143.06666,1873.0,2205.0,19187.399999999998
2015-01-20,353.0,119.03325299999999,963.0,1547.0,17463.16
2015-01-21,395.0,136.183336,1021.0,1526.0,18674.64
2015-01-22,381.0,122.516586,1010.0,1401.0,17057.72
2015-01-23,523.0,171.583392,1489.0,1859.0,21673.849999999995
2015-01-24,833.0,191.44991,2847.0,3113.0,36535.89000000001
2015-01-25,466.0,129.23339000000004,1670.0,1943.0,22536.899999999998
2015-01-26,272.0,109.08326,758.0,898.0,10564.169999999998
2015-01-27,256.0,99.999973,749.0,880.0,9959.119999999999
2015-01-28,276.0,110.49999,856.0,1071.0,14849.749999999998
2015-01-29,322.0,109.033282,848.0,1414.0,15759.789999999999
2015-01-30,414.0,139.20008900000002,1296.0,1641.0,21454.1
2015-01-31,744.0,203.416548,2694.0,2824.0,37423.21
2015-02-01,48.0,34.649986,152.0,223.0,2682.9300000000003
2015-02-02,275.0,104.883313,983.0,1178.0,13962.300000000001
2015-02-03,201.0,102.849983,641.0,791.0,13756.63
2015-02-04,231.0,103.15006000000001,785.0,870.0,12836.909999999998
2015-02-05,237.0,106.466604,871.0,1024.0,14451.529999999999
2015-02-06,426.0,154.94988600000002,1464.0,1429.0,25045.3
2015-02-07,835.0,222.483426,3249.0,3418.0,49981.42999999999
2015-02-08,584.0,204.18336000000002,2442.0,2869.0,38746.159999999996
2015-02-09,243.0,132.783353,962.0,949.0,15234.990000000002
2015-02-10,349.0,134.850079,1113.0,1352.0,20298.030000000002
2015-02-11,388.0,151.83336,1223.0,1495.0,23301.85
2015-02-12,445.0,159.699896,1292.0,1574.0,28596.870000000003
2015-02-13,729.0,235.76662000000002,2147.0,2919.0,48792.32
2015-02-14,897.0,224.88336299999995,3274.0,3301.0,54890.350000000006
2015-02-15,490.0,140.816666,2021.0,2016.0,29038.64
2015-02-16,416.0,126.74983,1710.0,1594.0,22538.489999999998
2015-02-17,236.0,140.099963,797.0,839.0,13017.07
2015-02-18,225.0,118.63339900000001,750.0,898.0,13150.7
2015-02-19,267.0,71.76666800000001,1038.0,927.0,15453.08
2015-02-20,393.0,141.65004000000002,1334.0,1560.0,23206.039999999997
2015-02-21,739.0,218.64996000000005,2911.0,2873.0,43130.85
2015-02-22,525.0,127.93329800000002,2161.0,2103.0,28443.399999999998
2015-02-23,274.0,110.46661000000002,946.0,1020.0,15570.75
2015-02-24,308.0,119.94996000000002,1026.0,1691.0,18929.5
2015-02-25,317.0,106.61666600000001,1053.0,1742.0,21019.51
2015-02-26,304.0,115.56669600000001,1053.0,1522.0,18000.98
2015-02-27,523.0,141.933306,1879.0,2537.0,28423.440000000002
2015-02-28,977.0,219.41645999999997,3891.0,5025.0,55833.409999999996
2015-03-01,510.0,0.0,0.0,2641.0,28420.329999999998
2015-03-02,269.0,87.08331600000001,1087.0,1132.0,13675.33
2015-03-03,240.0,68.516656,868.0,1155.0,13025.31
2015-03-04,288.0,86.216656,1107.0,1317.0,15266.42
2015-03-05,334.0,102.93332999999998,1184.0,1512.0,15891.21
2015-03-06,451.0,162.03322000000003,1744.0,2196.0,26073.7
2015-03-07,955.0,256.766586,3978.0,4658.0,51988.71
2015-03-08,602.0,156.15005,2295.0,2796.0,32394.010000000002
2015-03-09,294.0,119.10000000000001,1094.0,1400.0,17271.22
2015-03-10,268.0,106.133303,967.0,1220.0,13991.58
2015-03-11,271.0,105.45001200000002,1143.0,1199.0,15813.910000000002
2015-03-12,317.0,88.46665399999998,1111.0,1430.0,18102.74
2015-03-13,411.0,143.98332,1666.0,1947.0,23021.939999999995
2015-03-14,739.0,219.16666200000003,3042.0,3894.0,43163.01000000001
2015-03-15,492.0,159.96663600000005,2024.0,2333.0,26757.33
2015-03-16,311.0,109.45002,1066.0,1518.0,17621.98
2015-03-17,304.0,124.11654600000003,1028.0,1293.0,17372.22
2015-03-18,280.0,100.133332,989.0,1244.0,15866.44
2015-03-19,430.0,145.566553,1262.0,2657.0,22168.910000000003
2015-03-20,582.0,164.89993499999997,1773.0,3521.0,26516.26
2015-03-21,985.0,222.71668,3431.0,5865.0,53311.39
2015-03-22,580.0,154.94991599999997,2398.0,3627.0,29573.879999999997
